,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
0,BFAFX,American Funds Bond Fund of Amer F1,-0.05,-0.45%,11.01,11.17,11.14,-0.84%,-0.84%,
1,ABNFX,American Funds Bond Fund of Amer F2,-0.05,-0.45%,11.01,11.17,11.14,-0.76%,-0.76%,
2,CFAEX,American Funds Bond Fund of Amer 529E,-0.05,-0.45%,11.01,11.17,11.14,-0.88%,-0.88%,
3,CFAFX,American Funds Bond Fund of Amer 529F,-0.05,-0.45%,11.01,11.17,11.14,-0.79%,-0.79%,
4,RBFEX,American Funds Bond Fund of Amer R4,-0.05,-0.45%,11.01,11.17,11.14,-0.82%,-0.82%,
5,RBFFX,American Funds Bond Fund of Amer R5,-0.05,-0.45%,11.01,11.17,11.14,-0.75%,-0.75%,
6,RBFGX,American Funds Bond Fund of Amer R6,-0.05,-0.45%,11.01,11.17,11.14,-0.74%,-0.74%,
7,CFAAX,American Funds Bond Fund of Amer 529A,-0.05,-0.45%,11.01,11.17,11.14,-0.84%,-0.84%,
8,CFACX,American Funds Bond Fund of Amer 529C,-0.05,-0.45%,11.01,11.17,11.14,-1.02%,-1.02%,
9,RBFBX,American Funds Bond Fund of Amer R2,-0.05,-0.45%,11.01,11.17,11.14,-1.00%,-1.00%,
10,RBFAX,American Funds Bond Fund of Amer R1,-0.05,-0.45%,11.01,11.17,11.14,-1.00%,-1.00%,
11,RBEBX,American Funds Bond Fund of Amer R2E,-0.05,-0.45%,11.01,11.17,11.14,-0.93%,-0.93%,
12,RBFCX,American Funds Bond Fund of Amer R3,-0.05,-0.45%,11.01,11.17,11.14,-0.89%,-0.89%,
13,ABNDX,American Funds Bond Fund of Amer A,-0.05,-0.45%,11.01,11.17,11.14,-0.83%,-0.83%,
14,BFACX,American Funds Bond Fund of Amer C,-0.05,-0.45%,11.01,11.17,11.14,-1.01%,-1.01%,
15,BFFAX,American Funds Bond Fund of Amer F3,-0.05,-0.45%,11.01,11.17,11.14,-0.74%,-0.74%,
16,FFBOX,American Funds Bond Fund of Amer 529-F-2,-0.05,-0.45%,11.01,11.17,11.14,-0.76%,-0.76%,
17,RBFHX,American Funds Bond Fund of Amer R5E,-0.05,-0.45%,11.01,11.17,11.14,-0.77%,-0.77%,
18,FBOFX,American Funds Bond Fund of Amer 529-F-3,-0.05,-0.45%,11.01,11.17,11.14,-0.75%,-0.75%,
